,lat,long,cluster_coordinates
360033,34.046396,-118.250673,0
361584,34.044119,-118.262144,0
363157,34.038152,-118.259042,0
365522,34.048669,-118.24794,0
366930,34.06097,-118.237444,0
367685,34.03978,-118.262863,0
368039,34.038215,-118.258989,0
371229,34.063737,-118.447331,1
371889,34.04539,-118.260001,0
373433,34.042971,-118.246521,0
376277,34.041811,-118.263343,0
378160,34.042051,-118.261633,0
378941,34.045185,-118.245438,0
380598,34.045353,-118.256562,0
381336,34.062503,-118.446136,1
382812,34.039738,-118.260345,0
383861,34.053587,-118.250906,0
384956,34.043423,-118.257609,0
386208,34.060126,-118.443078,1
387869,34.039819,-118.25772,0
388486,34.062496,-118.445687,1
390568,34.059051,-118.250402,0
391257,34.099711,-118.326093,2
392028,34.048426,-118.25716,0
393042,34.061607,-118.447525,1
394288,34.039609,-118.262598,0
395447,34.062671,-118.446565,1
397470,34.047744,-118.249181,0
397863,34.040588,-118.250013,0
398628,34.043268,-118.257372,0
399683,34.049065,-118.251386,0
402986,34.058057,-118.251871,0
404412,34.044587,-118.26244,0
405772,34.043379,-118.256675,0
407123,34.063621,-118.240695,0
407940,34.049087,-118.248589,0
408971,34.047579,-118.245864,0
409975,34.038595,-118.250493,0
412317,34.043423,-118.256635,0
414002,34.03754,-118.260694,0
415624,34.033764,-118.255916,0
417331,34.064066,-118.441686,1
417782,34.061175,-118.238011,0
419350,34.061036,-118.237412,0
420552,34.033574,-118.255315,0
423046,34.061275,-118.237295,0
423741,34.048237,-118.254624,0
427604,34.060982,-118.238105,0
428519,34.061729,-118.447928,1
431371,34.060732,-118.237394,0
432263,34.066821,-118.236285,0
433223,34.098522,-118.32223,2
434796,34.053579,-118.250553,0
435600,34.057413,-118.254648,0
436686,34.038299,-118.250834,0
438462,34.036935,-118.260722,0
439806,34.065054,-118.238293,0
441193,34.100266,-118.325103,2
442392,34.063347,-118.448759,1
443269,34.061714,-118.442012,1
444139,34.037517,-118.257757,0
445378,34.061397,-118.441564,1
445732,34.040682,-118.259454,0
446907,34.036982,-118.264886,0
451953,34.043969,-118.258732,0
453134,34.040357,-118.264944,0
453685,34.046802,-118.253743,0
454804,34.039846,-118.247526,0
455296,34.038397,-118.263599,0
457034,34.039642,-118.262648,0
459170,34.04496,-118.258895,0
459651,34.047985,-118.24693,0
462980,34.040128,-118.25619,0
464056,34.043554,-118.263407,0
464864,34.04633,-118.244223,0
