space_id,block_face,meter_type,rate_type,rate_range,metered_time_limit,lat,long
CB526,401 E PICO BLVD,Single-Space,TOD,$1.00 - $2.00,2HR,34.034129,-118.256316
BH134,1900 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,1HR,34.049034,-118.21299
ED612,1000 S CROCKER ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.034142,-118.250774
LM592B,200 N FORMOSA AVE,Single-Space,FLAT,$1.00,2HR,34.075872,-118.346144
WU784,900 GRATTAN ST,Single-Space,FLAT,$1.00,2HR,34.049774,-118.272548
CB1953B,1500 S HILL ST,Single-Space,FLAT,$0.50,4HR,34.03517,-118.264054
CB161,1300 S HOPE ST,Single-Space,TOD,$0.50 - $1.50,4HR,34.038735,-118.266042
WV53,1001 S GAYLEY AVE,Single-Space,TOD,$1.00 - $2.00,2HR,34.060456,-118.446832
L253,501 N LARCHMONT BLVD,Single-Space,FLAT,$1.00,2HR,34.079531,-118.323776
56417,10910 W SANTA MONICA BLVD,Multi-Space,FLAT,$1.00,2HR,34.049162,-118.438135
SL270,3101 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,34.08449,-118.274248
HO527,1701 N VINE ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.101886,-118.326807
CB605,100 E 11TH ST,Single-Space,FLAT,$0.50,4HR,34.038921,-118.257972
SV359,1401 N COLE PL,Single-Space,FLAT,$0.50,2HR,34.097612,-118.330361
WW1219,4200 3RD ST,Single-Space,FLAT,$1.00,1HR,34.068886,-118.30623
HO958A,1700 N WHITLEY AVE,Single-Space,TOD,$1.50 - $3.00,2HR,34.103015,-118.333267
WU858,900 S UNION DR,Single-Space,FLAT,$1.00,2HR,34.050512,-118.273197
WB750,100 E 18TH ST,Single-Space,FLAT,$0.50,4HR,34.03193,-118.263342
HO177,1600 N CAHUENGA BLVD,Single-Space,TOD,$1.50 - $3.00,2HR,34.100539,-118.329431
WW2441,601 VAN NESS AVE,Single-Space,FLAT,$1.00,2HR,34.062182,-118.315385
WS132,1200 S WESTWOOD BLVD,Single-Space,FLAT,$1.00,2HR,34.057538,-118.442958
CB2182A,1100 S WALL ST,Single-Space,TOD,$0.50 - $2.00,2HR,34.036122,-118.254357
LM343,600 N FULLER AVE,Single-Space,FLAT,$1.00,2HR,34.08331,-118.349769
CB2248,501 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,34.033682,-118.25551
SS458,1901 S SAWTELLE BLVD,Single-Space,FLAT,$1.00,2HR,34.041392,-118.444112
WS94B,1200 S GLENDON AVE,Single-Space,FLAT,$1.00,2HR,34.05752,-118.4418
SW232,5101 W MELROSE AVE,Single-Space,FLAT,$1.00,1HR,34.083592,-118.311997
WB729,401 W 18TH ST,Single-Space,FLAT,$0.50,4HR,34.034998,-118.268994
CT193,401 W COLLEGE ST,Single-Space,TOD,$0.50 - $3.00,2HR,34.064234,-118.23791
GA100,3100 GLENDALE BLVD,Single-Space,FLAT,$1.00,1HR,34.116641,-118.262023
WA280,701 ALVARADO ST,Single-Space,FLAT,$1.00,1HR,34.055685,-118.277431
ED799,701 E 10TH ST,Single-Space,TOD,$0.50 - $1.50,2HR,34.035818,-118.251468
MV17,3701 S MOUNTAIN VIEW AVE,Single-Space,FLAT,$1.00,1HR,34.005911,-118.430423
WW1621,3200 8TH ST,Single-Space,FLAT,$1.00,1HR,34.057637,-118.298198
WW772,600 MARIPOSA AVE,Single-Space,FLAT,$1.00,1HR,34.062068,-118.29911
CB2156,1200 E 12TH ST,Single-Space,TOD,$0.50 - $2.00,2HR,34.034113,-118.255976
LH70,2800 BROADWAY,Single-Space,FLAT,$1.00,1HR,34.073588,-118.212466
SL101,2300 HYPERION AVE,Single-Space,FLAT,$1.00,4HR,34.102549,-118.272927
SL178,2700 GRIFFITH PARK BLVD,Single-Space,FLAT,$1.00,2HR,34.107686,-118.273292
VN1080,14401 W HAYNES ST,Single-Space,FLAT,$1.00,30MIN,34.189745,-118.448075
AE68,500 TRACTION AVE,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.046333,-118.237331
WF568,500 S SAN VICENTE BLVD,Single-Space,FLAT,$1.00,2HR,34.06833,-118.374496
LM563,201 N FULLER AVE,Single-Space,FLAT,$1.00,2HR,34.075916,-118.349874
HW109C,1501 N HOBART BLVD,Single-Space,FLAT,$1.00,1HR,34.098488,-118.305713
LM614,201 N LA BREA AVE,Single-Space,FLAT,$1.00,2HR,34.075425,-118.344159
AE549,401 GAREY ST,Single-Space,JUMP,$1.00/H - $4.00/10H,10HR,34.051865,-118.234313
WU263,600 BIXEL ST,Single-Space,FLAT,$1.00,2HR,34.052522,-118.263104
WV485,10801 W LINDBROOK DR,Single-Space,TOD,$0.50 - $1.50,2HR,34.060183,-118.442863
WA45,2001 7TH ST,Single-Space,FLAT,$1.00,1HR,34.056171,-118.27598
66204,7074 W HOLLYWOOD BLVD,Multi-Space,TOD,$0.50 - $2.00,2HR,34.101445,-118.344223
GA195,3900 EDENHURST AVE,Single-Space,FLAT,$1.00,2HR,34.12422,-118.266341
PB336,5200 W PICO BLVD,Single-Space,FLAT,$1.00,2HR,34.048196,-118.353494
CB1112,151 W PICO BLVD,Single-Space,FLAT,$0.50,4HR,34.037398,-118.261472
WU526,1301 7TH ST,Single-Space,FLAT,$1.00,1HR,34.052666,-118.268213
VS546,5100 SUNSET BLVD,Single-Space,FLAT,$1.00,1HR,34.098023,-118.301559
VN361,14500 W SYLVAN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.184586,-118.44925
HO21,6700 W HOLLYWOOD BLVD,Single-Space,TOD,$1.50 - $3.00,2HR,34.101457,-118.336767
61215,228 MAIN ST,Multi-Space,TOD,$0.50 - $1.50,2HR,33.9968,-118.47825
BF749,800 N FAIRFAX AVE,Single-Space,FLAT,$1.00,2HR,34.086893,-118.361283
CB3556B,601 S GRAND AVE,Single-Space,TOD,$6.00 - $7.00,2HR,34.04818,-118.255909
LM839,601 N MANSFIELD AVE,Single-Space,FLAT,$1.00,2HR,34.083062,-118.340675
WU789,900 GRATTAN ST,Single-Space,FLAT,$1.00,2HR,34.050242,-118.272244
SV770,1301 N HIGHLAND AVE,Single-Space,TOD,$0.50 - $1.00,2HR,34.095462,-118.338757
SS534,11301 W IOWA AVE,Single-Space,FLAT,$1.00,2HR,34.04449,-118.448986
CT618,601 N FIGUEROA ST,Single-Space,JUMP,$0.50/H - $2.00/10H,10HR,34.063347,-118.24604
VN170,14501 W HAMLIN ST,Single-Space,TOD,$0.50 - $1.00,2HR,34.188746,-118.450244
SW54,1000 N WESTERN AVE,Single-Space,FLAT,$1.00,1HR,34.090398,-118.309042
CB2570,700 S WALL ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.041435,-118.248922
SH211,1001 N MANSFIELD AVE,Single-Space,JUMP,$0.50/H - $3.00/10H,10HR,34.090379,-118.340511
HO46,1600 N LAS PALMAS AVE,Single-Space,TOD,$0.50 - $3.00,2HR,34.100882,-118.336071
SA136,1600 SUNSET BLVD,Single-Space,FLAT,$1.00,2HR,34.076987,-118.258146
CB3266,500 E 8TH ST,Single-Space,TOD,$0.50 - $6.00,2HR,34.039543,-118.249902
ED352,901 E PICO BLVD,Single-Space,FLAT,$0.50,2HR,34.031233,-118.250285
YO15,1300 AVENUE 51,Single-Space,FLAT,$1.00,1HR,34.121345,-118.204614
BH217,2400 CESAR E CHAVEZ AVE,Single-Space,FLAT,$1.00,1HR,34.046398,-118.207083
LC152,8400 W BEVERLY BLVD,Single-Space,FLAT,$1.00,2HR,34.075928,-118.37551
